id,nazwa,dlugosc,szerokosc
808,Łukasika / Kijewskiej,21.13036,51.38820
809,Małęczyn Nowy,21.24684,51.39185
810,Małęczyn Stary / Szkolna,21.24707,51.37904
811,Małęczyn Stary / Szkolna,21.24695,51.37900
818,Witosa / Rataja (NŻ),21.16256,51.46605
820,Janiszew I (NŻ),21.11966,51.42657
821,Janiszew I (NŻ),21.11975,51.42689
822,25 Czerwca / Wysoka,21.16423,51.40331
823,Żwirki i Wigury / Struga,21.16608,51.40793
824,Limanowskiego / MOPS,21.12225,51.38369
825,Beliny-Prażmowskiego / Dw. PKS,21.15870,51.39309
826,Os. Gołębiów II / Paderewskiego,21.17548,51.41615
829,Chorzowska / Wrocławska (NŻ),21.19529,51.39980
830,Chorzowska / Wrocławska (NŻ),21.19575,51.40049
832,Pomorska / Szczecińska (NŻ),21.18164,51.39274
833,Pomorska / Szczecińska (NŻ),21.18030,51.39306
835,Kochanowskiego / Lubelska (NŻ),21.18136,51.39723
843,Chorzowska I (NŻ),21.19672,51.40274
844,Chorzowska I (NŻ),21.19671,51.40243
845,Natolin I (NŻ),21.20805,51.40537
846,Natolin I (NŻ),21.20745,51.40548
847,Natolin / Szkoła (NŻ),21.21634,51.40476
848,Natolin / Szkoła (NŻ),21.21691,51.40429
849,Makowiec,21.21533,51.35017
850,Józefów / Szpital,21.15658,51.43949
851,Milejowice / Cerekiewska,21.06043,51.42478
852,Aleksandrowicza / Warszawska (NŻ),21.14784,51.43922
853,Aleksandrowicza / Warszawska (NŻ),21.14823,51.43912
854,Józefów / Szpital,21.15615,51.43957
862,Witosa / Rataja (NŻ),21.16267,51.46631
864,Witosa / Sita,21.15967,51.46159
865,Mireckiego / Reja,21.14110,51.40576
866,Witosa / Sita,21.15996,51.46181
867,Kielecka / Wośnicka,21.08396,51.37974
869,Struga / Niedziałkowskiego,21.15985,51.40593
870,Limanowskiego / Wałowa,21.13982,51.40286
874,Wincentów,21.16663,51.46800
875,Witosa / Silikaty,21.15808,51.45933
876,Witosa / Silikaty,21.15799,51.45936
879,Stańczyka / Malczewskiego (NŻ),21.14978,51.40326
880,Kilińskiego / Focha,21.15376,51.40229
881,Kilińskiego / Urząd Miejski,21.15623,51.40184
884,25 Czerwca / Waryńskiego,21.16047,51.39585
885,25 Czerwca / Waryńskiego,21.16039,51.39554
888,Kozienicka / Lesiowska (NŻ),21.20859,51.41967
889,Kozienicka / Lesiowska (NŻ),21.21190,51.42103
897,Kościuszki / Planty,21.15007,51.39436
898,Żeromskiego / Słowackiego,21.15969,51.40039
900,Sienkiewicza / Moniuszki,21.15354,51.39828
901,Sienkiewicza / Moniuszki,21.15466,51.39814
902,Kozłów I (NŻ),21.23204,51.45211
903,Kozłów I (NŻ),21.23187,51.45202
904,Kozłów,21.23293,51.46114
905,Potkańskiego / Nowa Wola Gołębiowska,21.22707,51.44488
