id,nazwa,dlugosc,szerokosc
203,Jana Pawła II / Sandomierska,21.15904,51.38184
204,Jana Pawła II / Sandomierska,21.15869,51.38078
208,Słowackiego / Kalińska,21.17287,51.38882
209,Cymerysa-Kwiatkowskiego / Błotnia,21.16543,51.38865
210,Maratońska / Limanowskiego,21.12828,51.39080
211,Limanowskiego / Maratońska,21.12981,51.39089
212,Limanowskiego / Maratońska,21.12817,51.38958
213,1905 Roku / Obrońców,21.13502,51.39020
214,1905 Roku / Tytoniowa,21.14058,51.39097
215,1905 Roku / Kościuszki,21.14618,51.39167
216,Poniatowskiego / Dworzec PKP,21.15293,51.39140
217,Dworzec PKP,21.15465,51.39148
219,Limanowskiego / Sucha,21.12500,51.38635
220,Limanowskiego / Toruńska,21.12043,51.38202
221,Wierzbicka / Tartaczna,21.13063,51.38478
222,Wierzbicka / Czarnoleska,21.12707,51.37418
223,Czarnoleska / Urszuli,21.13253,51.37160
228,Wiejska / Bukietowa,21.15062,51.37481
229,Wiejska / Południowa,21.14912,51.37868
231,Młodzianowska / Gazowa,21.14839,51.38326
233,Grzecznarowskiego / Osiedlowa,21.16665,51.38146
234,Grzecznarowskiego / Świerkowa,21.17127,51.37991
235,Grzecznarowskiego / Śląska,21.15905,51.38590
236,Słowackiego / Średnia,21.16863,51.39238
237,Słowackiego / Kalińska,21.17218,51.38954
238,Cymerysa-Kwiatkowskiego / Błotnia,21.16530,51.38832
239,Słowackiego / Kwiatowa,21.17538,51.38648
240,Długojowska / Odrodzenia,21.18101,51.39000
242,Słowackiego / Gromadzka,21.17840,51.38363
243,Grzecznarowskiego / Galeria Feniks,21.17820,51.38165
244,Słowackiego / Grzecznarowskiego (NŻ),21.18081,51.38125
245,Wojska Polskiego / Słowackiego,21.18168,51.38249
246,Wojska Polskiego / Ogrodnicza (NŻ),21.18674,51.38486
247,Wojska Polskiego / Odrodzenia (NŻ),21.19304,51.38919
248,Słowackiego / Idalińska,21.18273,51.37950
249,Przejazd / Idalińska,21.18145,51.37476
250,Mazowiecka / Laskowa,21.18363,51.37276
252,Słowackiego / Makuszyńskiego,21.18772,51.37478
253,Słowackiego / Ludowa,21.19079,51.37188
254,Słowackiego / Paciaka,21.19462,51.36825
255,Janiszpol,21.20024,51.36349
256,Janiszpol,21.19950,51.36447
257,Janiszpol,21.19874,51.36493
258,Słowackiego / Paciaka,21.19385,51.36916
259,Słowackiego / Ludowa,21.19028,51.37253
260,Przejazd / Idalińska,21.18144,51.37485
261,Słowackiego / Makuszyńskiego,21.18667,51.37593
262,Słowackiego / Idalińska,21.18292,51.37953
263,Wojska Polskiego / Ogrodnicza (NŻ),21.18659,51.38493
264,Wojska Polskiego / Odrodzenia (NŻ),21.19103,51.38762
265,Słowackiego / Gromadzka,21.17931,51.38297
266,Słowackiego / Kwiatowa,21.17530,51.38675
268,Kaptur,21.13835,51.41742
272,Wojska Polskiego / Lubelska,21.19633,51.39605
273,Kielecka / Kierzkowska,21.10093,51.39180
274,Kielecka / Marglowa,21.09722,51.38918
275,Kielecka / Skrajna (NŻ),21.09157,51.38515
277,Pruszaków,21.07037,51.36936
278,Pruszaków,21.07109,51.37061
279,Starokrakowska / Młyńska,21.11550,51.37797
280,Starokrakowska / Młyńska,21.11509,51.37755
281,Starokrakowska / Nadrzeczna (NŻ),21.10892,51.37322
282,Starokrakowska / Nasypowa (NŻ),21.10439,51.37002
283,Starokrakowska / Potkanowska,21.09995,51.36685
284,Starokrakowska / Szydłowiecka,21.09237,51.36429
285,Stalowa / Starokrakowska,21.08586,51.35993
286,Potkanów / Stalowa,21.08957,51.35550
289,Stalowa / Starokrakowska,21.08590,51.36002
290,Starokrakowska / Szydłowiecka,21.09135,51.36360
291,Starokrakowska / Potkanowska,21.10072,51.36731
292,Starokrakowska / Nasypowa (NŻ),21.10590,51.37083
293,Starokrakowska / Nadrzeczna (NŻ),21.10826,51.37264
294,Kielecka / Kierzkowska,21.10132,51.39190
295,Kielecka / Marglowa,21.09795,51.38950
296,Kielecka / Skrajna (NŻ),21.09281,51.38585
297,Kielecka / Wośnicka,21.08554,51.38067
300,Kozienicka / Hermanowicz,21.25334,51.43169
301,Kozienicka / Pacyńska,21.23981,51.43083
302,Kozienicka / Bakalarza,21.23330,51.42856
303,Kozienicka / Bakalarza,21.23061,51.42776
304,Kozienicka / Pacyńska,21.24320,51.43210
305,Kozienicka / Hermanowicz,21.25128,51.43189
306,Kozienicka / Potkańskiego,21.22725,51.42645
307,Kozienicka / Północna,21.21779,51.42322
311,Kozienicka / Żółkiewskiego,21.20014,51.41396
312,Kozienicka / Gryczana (NŻ),21.19368,51.41267
313,Os. Gołębiów I,21.18437,51.41115
314,Struga / Szklana,21.17950,51.40981
317,Zbrowskiego / Zientarskiego,21.17558,51.41232
318,Zbrowskiego / Orląt Lwowskich,21.17682,51.41489
319,Zbrowskiego / Gołębiowska (NŻ),21.17861,51.41857
320,Energetyków / Żółkiewskiego (NŻ),21.18044,51.42235
321,Energetyków / Brzustowska (NŻ),21.18251,51.42665
323,Kaszubska / Puławska,21.17583,51.39494
324,Lubelska / Kaszubska,21.17975,51.39847
325,Lubelska / Szczecińska,21.18782,51.39767
326,Lubelska / Chorzowska,21.19277,51.39720
327,Wojska Polskiego / Poranna (NŻ),21.20040,51.40271
328,Lubelska / Kaszubska,21.17858,51.39867
329,Lubelska / Szczecińska,21.18697,51.39785
330,Lubelska / Chorzowska,21.19322,51.39724
331,Wojska Polskiego / Lubelska,21.19715,51.39596
332,Sadków / Lotnisko,21.19986,51.39662
334,Wojska Polskiego / Poranna (NŻ),21.20041,51.40301
335,Struga / Szklana,21.17699,51.40946
337,Kozienicka / Gryczana (NŻ),21.19291,51.41262
338,Kozienicka / Żółkiewskiego,21.19928,51.41387
342,Zbrowskiego / Zientarskiego,21.17582,51.41309
343,Zbrowskiego / Gołębiowska (NŻ),21.17806,51.41767
344,Kozienicka / Północna,21.21781,51.42341
345,Kozienicka / Potkańskiego,21.22528,51.42590
346,Energetyków / Brzustowska (NŻ),21.18167,51.42518
347,Energetyków / Stara Wola Gołębiowska,21.18750,51.43722
348,Szarych Szeregów / Wernera,21.14378,51.41064
349,Bulwarowa / Długa,21.11121,51.39170
350,Bielicha I,21.09763,51.41134
351,Bielicha I,21.09617,51.41200
352,Bielicha II,21.09054,51.41409
353,Bielicha II,21.08948,51.41465
354,Bielicha III,21.08519,51.41632
355,Bielicha III,21.08585,51.41598
356,Milejowice / Kasztanowa,21.07737,51.41940
357,Milejowice / Kasztanowa,21.07824,51.41894
358,Milejowice / Kasztanowa,21.07671,51.41972
390,Zielona / Janiszew,21.12265,51.42082
409,Kosów,21.05028,51.35567
410,Kosów,21.05063,51.35605
411,Młodocin Mniejszy I,21.03454,51.34472
412,Młodocin Mniejszy I,21.03404,51.34426
473,Sołtyków / Główna,21.16779,51.34875
474,Makowiec / Armii Krajowej,21.20788,51.35755
475,Makowiec / Armii Krajowej,21.20972,51.35590
491,Małęczyn Nowy I (NŻ),21.25354,51.39130
492,Małęczyn Nowy I (NŻ),21.25258,51.39143
493,Małęczyn Nowy / Cmentarz,21.26156,51.39021
494,Małęczyn Nowy / Cmentarz,21.26142,51.39059
495,Małęczyn Nowy / Kościelna,21.25755,51.38640
496,Małęczyn Nowy / Kościelna,21.25706,51.38610
497,Małęczyn Stary / Ziembickiego,21.25436,51.38243
498,Małęczyn Stary / Ziembickiego,21.25410,51.38213
499,Małęczyn Stary / Makowska,21.25178,51.37810
501,Grzmucin,21.29020,51.36360
540,Antoniówka,21.27890,51.42996
541,Antoniówka,21.27769,51.43059
542,Antoniówka / stacja PKP,21.27984,51.42633
